date,commodity,market,district,min_price,max_price,modal_price,arrivals_quintals,is_reported,days_since_last_report,coverage_ratio_14d,modal_price_ffill,price_lag_1d,price_lag_3d,price_lag_7d,price_lag_14d,pct_change_3d,pct_change_7d,volatility_7d,is_outlier,temperature_mean_c,temperature_max_c,temperature_min_c,precipitation_mm,relative_humidity_pct,wind_speed_kmh,future_price_3d,future_delta_pct,target_direction_3d,day_of_week,month
2026-01-01,Onion,Lasalgaon,Nashik,1745.4,1966.8,1845.1,28534.0,1,0,1.0,1845.1,,,,,,,,0,20.3,26.3,14.8,0.0,66.0,14.6,1874.5,1.59,FLAT,3,1
2026-01-02,Onion,Lasalgaon,Nashik,1750.5,1972.6,1850.5,15130.0,1,0,1.0,1850.5,1845.1,,,,,,,0,20.9,27.7,15.0,0.0,64.0,12.0,1890.4,2.16,FLAT,4,1
2026-01-03,Onion,Lasalgaon,Nashik,1773.3,1998.2,1874.5,26041.0,1,0,1.0,1874.5,1850.5,,,,,,15.65,0,21.6,28.1,15.8,0.0,60.0,14.2,1869.3,-0.28,FLAT,5,1
2026-01-05,Onion,Lasalgaon,Nashik,1788.4,2015.2,1890.4,27183.0,1,0,0.8,1890.4,1874.5,1850.5,,,2.16,,18.79,0,21.1,26.9,16.1,0.0,64.0,12.2,1877.5,-0.68,FLAT,0,1
2026-01-06,Onion,Lasalgaon,Nashik,1768.3,1992.6,1869.3,20355.0,1,0,0.833,1869.3,1890.4,1874.5,,,-0.28,,16.83,0,21.1,27.5,15.0,0.0,57.0,11.5,1836.8,-1.74,FLAT,1,1
2026-01-07,Onion,Lasalgaon,Nashik,1741.1,1961.9,1840.4,19386.0,1,0,0.857,1840.4,1869.3,1874.5,,,-1.82,,18.44,0,20.8,27.9,14.2,0.0,45.0,13.2,1893.9,2.91,UP,2,1
2026-01-08,Onion,Lasalgaon,Nashik,1776.1,2001.4,1877.5,25582.0,1,0,0.875,1877.5,1840.4,1890.4,1845.1,,-0.68,1.76,17.06,0,20.4,26.9,14.3,0.0,36.0,13.2,1893.9,0.87,FLAT,3,1
2026-01-09,Onion,Lasalgaon,Nashik,1737.6,1958.0,1836.8,25012.0,1,0,0.889,1836.8,1877.5,1869.3,1850.5,,-1.74,-0.74,19.96,0,19.4,26.3,13.1,0.0,35.0,13.7,1890.4,2.92,UP,4,1
2026-01-10,Onion,Lasalgaon,Nashik,1791.6,2018.9,1893.9,15390.0,1,0,0.9,1893.9,1836.8,1840.4,1874.5,,2.91,1.03,22.49,0,19.2,26.1,13.5,0.0,44.0,11.3,1865.8,-1.48,FLAT,5,1
2026-01-12,Onion,Lasalgaon,Nashik,1788.3,2015.2,1890.4,25786.0,1,0,0.833,1890.4,1893.9,1836.8,1890.4,,2.92,0.0,24.4,0,20.5,28.0,14.0,0.0,49.0,13.6,1909.2,0.99,FLAT,0,1
