date,commodity,market,district,min_price,max_price,modal_price,arrivals_quintals,is_reported,days_since_last_report,coverage_ratio_14d,modal_price_ffill,price_lag_1d,price_lag_3d,price_lag_7d,price_lag_14d,pct_change_3d,pct_change_7d,volatility_7d,is_outlier,temperature_mean_c,temperature_max_c,temperature_min_c,precipitation_mm,relative_humidity_pct,wind_speed_kmh,future_price_3d,future_delta_pct,target_direction_3d,day_of_week,month
2026-01-01,Soyabean,Latur,Latur,4360.8,4674.8,4486.4,19989.0,1,0,1.0,4486.4,,,,,,,,0,21.0,27.2,15.6,0.0,51.0,12.5,4482.3,-0.09,FLAT,3,1
2026-01-02,Soyabean,Latur,Latur,4349.5,4662.7,4474.8,21282.0,1,0,1.0,4474.8,4486.4,,,,,,,0,21.7,27.7,15.8,0.0,51.0,12.3,4370.5,-2.33,FLAT,4,1
2026-01-03,Soyabean,Latur,Latur,4356.8,4670.5,4482.3,13121.0,1,0,1.0,4482.3,4474.8,,,,,,5.88,0,22.1,27.9,17.1,0.0,55.0,11.4,4328.2,-3.44,DOWN,5,1
2026-01-05,Soyabean,Latur,Latur,4248.1,4554.0,4370.5,25072.0,1,0,0.8,4370.5,4482.3,4474.8,,,-2.33,,49.79,0,21.2,26.2,16.9,0.0,62.0,12.4,4308.8,-1.41,FLAT,0,1
2026-01-06,Soyabean,Latur,Latur,4207.0,4509.9,4328.2,13426.0,1,0,0.833,4328.2,4370.5,4482.3,,,-3.44,,69.62,0,20.6,26.4,15.9,0.0,56.0,10.7,4360.4,0.74,FLAT,1,1
2026-01-07,Soyabean,Latur,Latur,4263.0,4570.0,4385.8,17288.0,1,0,0.857,4385.8,4328.2,4482.3,,,-2.15,,66.48,0,20.6,26.9,15.2,0.0,40.0,12.2,4399.9,0.32,FLAT,2,1
2026-01-08,Soyabean,Latur,Latur,4188.2,4489.8,4308.8,10454.0,1,0,0.875,4308.8,4385.8,4370.5,4486.4,,-1.41,-3.96,74.76,0,20.2,26.4,14.8,0.0,35.0,11.3,4399.9,2.11,FLAT,3,1
2026-01-09,Soyabean,Latur,Latur,4238.3,4543.5,4360.4,25130.0,1,0,0.889,4360.4,4308.8,4328.2,4474.8,,0.74,-2.56,69.17,0,19.7,25.8,14.2,0.0,37.0,12.4,4317.7,-0.98,FLAT,4,1
2026-01-10,Soyabean,Latur,Latur,4276.7,4584.7,4399.9,9523.0,1,0,0.9,4399.9,4360.4,4385.8,4482.3,,0.32,-1.84,56.33,0,19.7,25.5,14.5,0.0,40.0,14.1,4325.1,-1.7,FLAT,5,1
2026-01-12,Soyabean,Latur,Latur,4196.8,4499.0,4317.7,15438.0,1,0,0.833,4317.7,4399.9,4360.4,4370.5,,-0.98,-1.21,39.2,0,21.1,27.2,15.6,0.0,40.0,14.4,4347.7,0.69,FLAT,0,1
2026-01-13,Soyabean,Latur,Latur,4204.0,4506.8,4325.1,20563.0,1,0,0.846,4325.1,4317.7,4399.9,4328.2,,-1.7,-0.07,39.6,0,22.5,28.1,17.3,0.0,48.0,12.1,4439.9,2.65,UP,1,1
2026-01-14,Soyabean,Latur,Latur,4130.4,4427.9,4249.4,15465.0,1,0,0.857,4249.4,4325.1,4399.9,4385.8,,-3.42,-3.11,53.92,0,22.6,27.4,18.4,0.3,61.0,12.6,4460.0,4.96,UP,2,1
2026-01-15,Soyabean,Latur,Latur,4225.9,4530.3,4347.7,28380.0,1,0,0.857,4347.7,4249.4,4317.7,4308.8,4486.4,0.69,0.9,52.47,0,21.9,27.3,17.3,0.0,53.0,11.9,4460.0,2.58,UP,3,1
2026-01-16,Soyabean,Latur,Latur,4315.6,4626.4,4439.9,29899.0,1,0,0.857,4439.9,4347.7,4325.1,4360.4,4474.8,2.65,1.82,64.19,0,21.9,28.0,16.4,0.0,52.0,11.7,4364.8,-1.69,FLAT,4,1
2026-01-17,Soyabean,Latur,Latur,4335.1,4647.3,4460.0,9762.0,1,0,0.857,4460.0,4439.9,4249.4,4399.9,4482.3,4.96,1.37,74.51,0,22.5,28.6,16.9,0.0,51.0,9.4,4322.2,-3.09,DOWN,5,1
2026-01-19,Soyabean,Latur,Latur,4242.6,4548.2,4364.8,14956.0,1,0,0.857,4364.8,4460.0,4439.9,4317.7,4370.5,-1.69,1.09,79.28,0,21.4,27.2,16.6,0.0,55.0,15.9,4395.8,0.71,FLAT,0,1
2026-01-20,Soyabean,Latur,Latur,4201.1,4503.7,4322.2,26342.0,1,0,0.857,4322.2,4364.8,4460.0,4325.1,4328.2,-3.09,-0.07,79.61,0,22.0,28.0,17.0,0.0,50.0,13.5,4413.6,2.11,FLAT,1,1
2026-01-21,Soyabean,Latur,Latur,4252.5,4558.7,4375.0,21306.0,1,0,0.857,4375.0,4322.2,4460.0,4249.4,4385.8,-1.91,2.96,56.73,0,22.3,27.5,17.2,0.0,45.0,13.5,4455.8,1.85,FLAT,2,1
2026-01-22,Soyabean,Latur,Latur,4272.7,4580.4,4395.8,22016.0,1,0,0.857,4395.8,4375.0,4364.8,4347.7,4308.8,0.71,1.11,52.73,0,21.9,26.9,18.0,0.0,44.0,15.1,4455.8,1.36,FLAT,3,1
2026-01-23,Soyabean,Latur,Latur,4290.0,4598.9,4413.6,27778.0,1,0,0.857,4413.6,4395.8,4322.2,4439.9,4360.4,2.11,-0.59,50.51,0,21.9,27.0,17.5,0.0,47.0,15.4,4493.2,1.8,FLAT,4,1
2026-01-24,Soyabean,Latur,Latur,4331.0,4643.0,4455.8,29477.0,1,0,0.857,4455.8,4413.6,4375.0,4460.0,4399.9,1.85,-0.09,49.68,0,21.6,27.4,16.7,0.0,53.0,13.7,4527.7,1.61,FLAT,5,1
2026-01-26,Soyabean,Latur,Latur,4367.3,4681.9,4493.2,13007.0,1,0,0.857,4493.2,4455.8,4413.6,4364.8,4317.7,1.8,2.94,57.77,0,22.6,28.1,17.5,0.2,52.0,12.8,4568.7,1.68,FLAT,0,1
2026-01-27,Soyabean,Latur,Latur,4401.0,4717.9,4527.7,13840.0,1,0,0.857,4527.7,4493.2,4455.8,4322.2,4325.1,1.61,4.75,54.32,0,22.7,27.4,19.3,2.6,64.0,20.3,4626.6,2.18,FLAT,1,1
2026-01-28,Soyabean,Latur,Latur,4485.2,4808.2,4614.4,19846.0,1,0,0.857,4614.4,4527.7,4455.8,4375.0,4249.4,3.56,5.47,74.36,0,21.7,26.9,17.3,0.0,62.0,14.3,4626.6,0.26,FLAT,2,1
2026-01-29,Soyabean,Latur,Latur,4440.7,4760.5,4568.7,10800.0,1,0,0.857,4568.7,4614.4,4493.2,4395.8,4347.7,1.68,3.93,70.56,0,21.9,27.9,17.0,0.0,59.0,14.1,4626.6,1.27,FLAT,3,1
