date,commodity,market,district,min_price,max_price,modal_price,arrivals_quintals,is_reported,days_since_last_report,coverage_ratio_14d,modal_price_ffill,price_lag_1d,price_lag_3d,price_lag_7d,price_lag_14d,pct_change_3d,pct_change_7d,volatility_7d,is_outlier,temperature_mean_c,temperature_max_c,temperature_min_c,precipitation_mm,relative_humidity_pct,wind_speed_kmh,future_price_3d,future_delta_pct,target_direction_3d,day_of_week,month
2026-01-01,Tomato,Junnar(Narayangaon),Pune,1265.4,1543.5,1390.5,11075.0,1,0,1.0,1390.5,,,,,,,,0,21.2,28.3,14.4,0.0,56.0,7.4,1349.4,-2.96,DOWN,3,1
2026-01-02,Tomato,Junnar(Narayangaon),Pune,1316.4,1605.7,1446.5,5354.0,1,0,1.0,1446.5,1390.5,,,,,,,0,22.4,29.6,15.9,0.0,59.0,11.7,1343.5,-7.12,DOWN,4,1
2026-01-03,Tomato,Junnar(Narayangaon),Pune,1228.0,1497.8,1349.4,4642.0,1,0,1.0,1349.4,1446.5,,,,,,48.74,0,23.0,29.6,16.6,0.0,56.0,6.9,1310.9,-2.85,DOWN,5,1
2026-01-05,Tomato,Junnar(Narayangaon),Pune,1222.6,1491.3,1343.5,12960.0,1,0,0.8,1343.5,1349.4,1446.5,,,-7.12,,43.74,0,22.8,28.2,17.4,0.0,54.0,9.6,1280.0,-4.73,DOWN,0,1
2026-01-06,Tomato,Junnar(Narayangaon),Pune,1192.9,1455.1,1310.9,10424.0,1,0,0.833,1310.9,1343.5,1349.4,,,-2.85,,47.26,0,21.8,27.9,15.6,0.0,48.0,11.9,1306.5,-0.34,FLAT,1,1
2026-01-08,Tomato,Junnar(Narayangaon),Pune,1164.8,1420.8,1280.0,7736.0,1,0,0.75,1280.0,1310.9,1343.5,1390.5,,-4.73,-7.95,52.93,0,20.6,27.7,13.4,0.0,35.0,13.5,1420.6,10.98,UP,3,1
2026-01-09,Tomato,Junnar(Narayangaon),Pune,1189.0,1450.3,1306.5,12526.0,1,0,0.778,1306.5,1280.0,1310.9,1446.5,,-0.34,-9.68,26.5,0,20.3,27.1,13.1,0.0,35.0,14.0,1277.3,-2.23,FLAT,4,1
2026-01-10,Tomato,Junnar(Narayangaon),Pune,1292.7,1576.8,1420.6,5199.0,1,0,0.8,1420.6,1306.5,1310.9,1349.4,,8.37,5.28,45.7,0,20.7,27.9,14.0,0.0,38.0,11.4,1256.6,-11.54,DOWN,5,1
2026-01-12,Tomato,Junnar(Narayangaon),Pune,1162.3,1417.8,1277.3,5694.0,1,0,0.75,1277.3,1420.6,1306.5,1343.5,,-2.23,-4.93,61.83,0,22.4,30.1,15.3,1.5,46.0,9.5,1215.7,-4.82,DOWN,0,1
2026-01-13,Tomato,Junnar(Narayangaon),Pune,1143.6,1394.9,1256.6,13366.0,1,0,0.769,1256.6,1277.3,1420.6,1310.9,,-11.54,-4.14,68.07,0,24.0,30.0,18.3,0.0,56.0,8.5,1207.7,-3.89,DOWN,1,1
2026-01-14,Tomato,Junnar(Narayangaon),Pune,1134.6,1384.0,1246.8,5378.0,1,0,0.786,1246.8,1256.6,1420.6,1310.9,,-12.23,-4.89,74.25,0,23.5,28.8,18.2,0.3,61.0,11.9,1179.2,-5.42,DOWN,2,1
2026-01-15,Tomato,Junnar(Narayangaon),Pune,1106.3,1349.4,1215.7,4708.0,1,0,0.786,1215.7,1246.8,1277.3,1280.0,1390.5,-4.82,-5.02,82.85,0,23.3,30.2,17.2,0.0,54.0,9.6,1179.2,-3.0,DOWN,3,1
2026-01-16,Tomato,Junnar(Narayangaon),Pune,1099.0,1340.6,1207.7,9922.0,1,0,0.786,1207.7,1215.7,1256.6,1306.5,1446.5,-3.89,-7.56,90.84,0,23.6,31.0,16.8,0.0,49.0,11.4,1239.2,2.61,UP,4,1
2026-01-17,Tomato,Junnar(Narayangaon),Pune,1073.1,1309.0,1179.2,11040.0,1,0,0.786,1179.2,1207.7,1246.8,1420.6,1349.4,-5.42,-16.99,79.02,0,23.4,30.7,17.5,0.0,46.0,16.5,1345.5,14.1,UP,5,1
2026-01-19,Tomato,Junnar(Narayangaon),Pune,1127.7,1375.6,1239.2,7342.0,1,0,0.786,1239.2,1179.2,1207.7,1277.3,1343.5,2.61,-2.98,31.33,0,20.8,29.0,14.3,0.0,61.0,14.5,1267.1,2.25,FLAT,0,1
2026-01-20,Tomato,Junnar(Narayangaon),Pune,1224.4,1493.6,1345.5,9173.0,1,0,0.786,1345.5,1239.2,1179.2,1256.6,1310.9,14.1,7.07,57.11,0,21.7,29.5,14.9,0.0,57.0,9.4,1319.5,-1.93,FLAT,1,1
2026-01-21,Tomato,Junnar(Narayangaon),Pune,1153.1,1406.5,1267.1,5616.0,1,0,0.857,1267.1,1345.5,1179.2,1246.8,1310.9,7.45,1.63,58.57,0,22.6,29.5,15.8,0.0,50.0,11.1,1252.0,-1.19,FLAT,2,1
2026-01-23,Tomato,Junnar(Narayangaon),Pune,1200.8,1464.7,1319.5,12155.0,1,0,0.786,1319.5,1267.1,1345.5,1207.7,1306.5,-1.93,9.26,63.72,0,22.1,28.6,16.4,0.0,53.0,10.4,1162.8,-11.88,DOWN,4,1
2026-01-24,Tomato,Junnar(Narayangaon),Pune,1139.4,1389.8,1252.0,17018.0,1,0,0.786,1252.0,1319.5,1267.1,1179.2,1420.6,-1.19,6.17,54.2,0,22.0,29.2,15.9,0.0,56.0,10.5,1169.1,-6.62,DOWN,5,1
2026-01-26,Tomato,Junnar(Narayangaon),Pune,1058.2,1290.7,1162.8,8273.0,1,0,0.786,1162.8,1252.0,1319.5,1239.2,1277.3,-11.88,-6.17,58.06,0,23.5,29.5,17.2,1.9,55.0,12.3,1084.1,-6.77,DOWN,0,1
2026-01-27,Tomato,Junnar(Narayangaon),Pune,1063.9,1297.7,1169.1,5615.0,1,0,0.786,1169.1,1162.8,1252.0,1345.5,1256.6,-6.62,-13.11,56.35,0,23.3,28.7,19.1,0.4,64.0,14.4,1073.3,-8.19,DOWN,1,1
2026-01-29,Tomato,Junnar(Narayangaon),Pune,986.5,1203.3,1084.1,8330.0,1,0,0.714,1084.1,1169.1,1162.8,1267.1,1215.7,-6.77,-14.44,77.89,0,24.2,30.9,17.5,0.0,51.0,9.7,1127.6,4.01,UP,3,1
2026-01-30,Tomato,Junnar(Narayangaon),Pune,976.7,1191.3,1073.3,13166.0,1,0,0.714,1073.3,1084.1,1169.1,1319.5,1207.7,-8.19,-18.66,70.85,0,24.7,30.5,19.6,0.0,52.0,9.9,1178.5,9.8,UP,4,1
2026-01-31,Tomato,Junnar(Narayangaon),Pune,1026.1,1251.6,1127.6,13419.0,1,0,0.714,1127.6,1073.3,1169.1,1252.0,1179.2,-3.55,-9.94,60.56,0,24.1,30.1,18.2,0.0,55.0,11.5,1236.3,9.64,UP,5,1
2026-02-02,Tomato,Junnar(Narayangaon),Pune,1072.4,1308.1,1178.5,9952.0,1,0,0.714,1178.5,1127.6,1073.3,1162.8,1239.2,9.8,1.35,42.21,0,23.2,30.0,16.9,0.0,46.0,14.9,1082.3,-8.16,DOWN,0,2
2026-02-03,Tomato,Junnar(Narayangaon),Pune,1125.1,1372.3,1236.3,11067.0,1,0,0.714,1236.3,1178.5,1127.6,1169.1,1345.5,9.64,5.75,56.93,0,23.7,30.4,17.3,0.0,47.0,8.1,1087.0,-12.08,DOWN,1,2
2026-02-04,Tomato,Junnar(Narayangaon),Pune,1075.9,1312.4,1182.3,8000.0,1,0,0.714,1182.3,1236.3,1127.6,1169.1,1267.1,4.85,1.13,58.17,0,24.1,30.0,17.7,0.0,46.0,14.6,1157.3,-2.11,FLAT,2,2
2026-02-05,Tomato,Junnar(Narayangaon),Pune,984.9,1201.4,1082.3,13737.0,1,0,0.786,1082.3,1182.3,1178.5,1084.1,1267.1,-8.16,-0.17,58.48,0,23.8,29.9,17.8,0.0,44.0,12.5,1157.3,6.93,UP,3,2
2026-02-06,Tomato,Junnar(Narayangaon),Pune,989.2,1206.6,1087.0,7072.0,1,0,0.786,1087.0,1082.3,1236.3,1073.3,1319.5,-12.08,1.28,55.89,0,23.7,29.8,17.0,0.0,44.0,13.4,1220.0,12.24,UP,4,2
2026-02-07,Tomato,Junnar(Narayangaon),Pune,1053.1,1284.6,1157.3,10464.0,1,0,0.786,1157.3,1087.0,1182.3,1127.6,1252.0,-2.11,2.63,55.39,0,23.8,30.5,16.9,0.0,41.0,11.1,1244.5,7.53,UP,5,2
