date,commodity,market,district,min_price,max_price,modal_price,arrivals_quintals
2026-01-01,Onion,Manmad,Nashik,1615.7,1877.7,1746.7,3179.0
2026-01-02,Onion,Manmad,Nashik,1639.3,1905.1,1772.2,3933.0
2026-01-03,Onion,Manmad,Nashik,1680.5,1953.1,1816.8,6464.0
2026-01-05,Onion,Manmad,Nashik,1692.8,1967.4,1830.1,5277.0
2026-01-06,Onion,Manmad,Nashik,1627.0,1890.8,1758.9,4888.0
2026-01-09,Onion,Manmad,Nashik,1641.8,1908.0,1774.9,4791.0
2026-01-10,Onion,Manmad,Nashik,1646.8,1913.8,1780.3,4845.0
2026-01-12,Onion,Manmad,Nashik,1665.9,1936.1,1801.0,8971.0
2026-01-14,Onion,Manmad,Nashik,1682.8,1955.6,1819.2,5802.0
2026-01-15,Onion,Manmad,Nashik,1683.9,1956.9,1820.4,8168.0
2026-01-16,Onion,Manmad,Nashik,1669.4,1940.2,1804.8,8912.0
2026-01-19,Onion,Manmad,Nashik,1676.7,1948.7,1812.7,4226.0
2026-01-20,Onion,Manmad,Nashik,1683.2,1956.2,1819.7,4591.0
2026-01-21,Onion,Manmad,Nashik,1700.2,1976.0,1838.1,8634.0
2026-01-22,Onion,Manmad,Nashik,1706.3,1983.1,1844.7,3554.0
2026-01-23,Onion,Manmad,Nashik,1714.7,1992.7,1853.7,6274.0
2026-01-24,Onion,Manmad,Nashik,1754.9,2039.5,1897.2,8305.0
2026-01-26,Onion,Manmad,Nashik,1865.5,2168.1,2016.8,8152.0
2026-01-27,Onion,Manmad,Nashik,1893.1,2200.1,2046.6,6217.0
2026-01-28,Onion,Manmad,Nashik,1864.0,2166.2,2015.1,6460.0
2026-01-29,Onion,Manmad,Nashik,1847.9,2147.5,1997.7,7319.0
2026-01-30,Onion,Manmad,Nashik,1905.3,2214.3,2059.8,3002.0
2026-01-31,Onion,Manmad,Nashik,1908.5,2217.9,2063.2,7911.0
2026-02-02,Onion,Manmad,Nashik,1880.5,2185.5,2033.0,7620.0
