date,commodity,market,district,min_price,max_price,modal_price,arrivals_quintals
2026-01-01,Soyabean,Latur,Latur,4360.8,4674.8,4486.4,19989.0
2026-01-02,Soyabean,Latur,Latur,4349.5,4662.7,4474.8,21282.0
2026-01-03,Soyabean,Latur,Latur,4356.8,4670.5,4482.3,13121.0
2026-01-05,Soyabean,Latur,Latur,4248.1,4554.0,4370.5,25072.0
2026-01-06,Soyabean,Latur,Latur,4207.0,4509.9,4328.2,13426.0
2026-01-07,Soyabean,Latur,Latur,4263.0,4570.0,4385.8,17288.0
2026-01-08,Soyabean,Latur,Latur,4188.2,4489.8,4308.8,10454.0
2026-01-09,Soyabean,Latur,Latur,4238.3,4543.5,4360.4,25130.0
2026-01-10,Soyabean,Latur,Latur,4276.7,4584.7,4399.9,9523.0
2026-01-12,Soyabean,Latur,Latur,4196.8,4499.0,4317.7,15438.0
2026-01-13,Soyabean,Latur,Latur,4204.0,4506.8,4325.1,20563.0
2026-01-14,Soyabean,Latur,Latur,4130.4,4427.9,4249.4,15465.0
2026-01-15,Soyabean,Latur,Latur,4225.9,4530.3,4347.7,28380.0
2026-01-16,Soyabean,Latur,Latur,4315.6,4626.4,4439.9,29899.0
2026-01-17,Soyabean,Latur,Latur,4335.1,4647.3,4460.0,9762.0
2026-01-19,Soyabean,Latur,Latur,4242.6,4548.2,4364.8,14956.0
2026-01-20,Soyabean,Latur,Latur,4201.1,4503.7,4322.2,26342.0
2026-01-21,Soyabean,Latur,Latur,4252.5,4558.7,4375.0,21306.0
2026-01-22,Soyabean,Latur,Latur,4272.7,4580.4,4395.8,22016.0
2026-01-23,Soyabean,Latur,Latur,4290.0,4598.9,4413.6,27778.0
2026-01-24,Soyabean,Latur,Latur,4331.0,4643.0,4455.8,29477.0
2026-01-26,Soyabean,Latur,Latur,4367.3,4681.9,4493.2,13007.0
2026-01-27,Soyabean,Latur,Latur,4401.0,4717.9,4527.7,13840.0
2026-01-28,Soyabean,Latur,Latur,4485.2,4808.2,4614.4,19846.0
2026-01-29,Soyabean,Latur,Latur,4440.7,4760.5,4568.7,10800.0
2026-01-30,Soyabean,Latur,Latur,4497.0,4820.9,4626.6,17728.0
2026-02-02,Soyabean,Latur,Latur,4550.7,4878.4,4681.7,9105.0
2026-02-03,Soyabean,Latur,Latur,4504.6,4829.0,4634.4,20053.0
2026-02-04,Soyabean,Latur,Latur,4499.5,4823.5,4629.1,11044.0
2026-02-05,Soyabean,Latur,Latur,4557.2,4885.4,4688.5,24843.0
2026-02-06,Soyabean,Latur,Latur,4546.3,4873.7,4677.3,22941.0
2026-02-07,Soyabean,Latur,Latur,4561.0,4889.4,4692.3,16340.0
2026-02-09,Soyabean,Latur,Latur,4487.0,4810.1,4616.2,8448.0
2026-02-11,Soyabean,Latur,Latur,4570.5,4899.6,4702.2,29645.0
2026-02-12,Soyabean,Latur,Latur,4612.7,4944.9,4745.5,24143.0
2026-02-13,Soyabean,Latur,Latur,4530.3,4856.6,4660.8,18224.0
2026-02-14,Soyabean,Latur,Latur,4553.5,4881.4,4684.6,18749.0
2026-02-16,Soyabean,Latur,Latur,4500.4,4824.5,4630.0,12237.0
2026-02-17,Soyabean,Latur,Latur,4495.0,4818.7,4624.4,11948.0
2026-02-18,Soyabean,Latur,Latur,4464.3,4785.8,4592.9,28703.0
2026-02-19,Soyabean,Latur,Latur,4627.0,4960.3,4760.3,25396.0
2026-02-20,Soyabean,Latur,Latur,4648.2,4983.0,4782.1,11824.0
2026-02-21,Soyabean,Latur,Latur,4673.8,5010.4,4808.5,22546.0
2026-02-23,Soyabean,Latur,Latur,4634.8,4968.6,4768.3,8877.0
2026-02-24,Soyabean,Latur,Latur,4638.7,4972.7,4772.3,28154.0
2026-02-25,Soyabean,Latur,Latur,4601.3,4932.6,4733.8,25898.0
2026-02-26,Soyabean,Latur,Latur,4542.7,4869.8,4673.5,24720.0
2026-02-27,Soyabean,Latur,Latur,4576.0,4905.5,4707.8,29830.0
2026-02-28,Soyabean,Latur,Latur,4485.1,4808.1,4614.3,27345.0
2026-03-02,Soyabean,Latur,Latur,4377.3,4692.6,4503.4,12150.0
2026-03-03,Soyabean,Latur,Latur,4330.6,4642.4,4455.3,18897.0
2026-03-04,Soyabean,Latur,Latur,4197.3,4499.5,4318.2,23240.0
2026-03-05,Soyabean,Latur,Latur,4188.7,4490.4,4309.4,29943.0
2026-03-06,Soyabean,Latur,Latur,4170.1,4470.4,4290.2,20450.0
2026-03-07,Soyabean,Latur,Latur,4180.6,4481.7,4301.0,27827.0
2026-03-09,Soyabean,Latur,Latur,4082.4,4376.4,4200.0,14039.0
2026-03-10,Soyabean,Latur,Latur,4082.4,4376.4,4200.0,22502.0
2026-03-11,Soyabean,Latur,Latur,4105.6,4401.3,4223.9,19867.0
2026-03-12,Soyabean,Latur,Latur,4188.2,4489.8,4308.9,23933.0
2026-03-13,Soyabean,Latur,Latur,4123.0,4420.0,4241.8,10384.0
2026-03-14,Soyabean,Latur,Latur,4164.1,4463.9,4284.0,10138.0
2026-03-16,Soyabean,Latur,Latur,4150.6,4449.5,4270.1,26820.0
2026-03-17,Soyabean,Latur,Latur,4107.1,4402.8,4225.4,8470.0
2026-03-18,Soyabean,Latur,Latur,4205.7,4508.6,4326.9,10860.0
2026-03-19,Soyabean,Latur,Latur,4234.9,4539.9,4356.9,24405.0
2026-03-20,Soyabean,Latur,Latur,4253.7,4560.1,4376.3,16836.0
2026-03-21,Soyabean,Latur,Latur,4326.4,4638.0,4451.0,19672.0
2026-03-23,Soyabean,Latur,Latur,4405.5,4722.8,4532.4,28306.0
2026-03-24,Soyabean,Latur,Latur,4362.1,4676.3,4487.8,23863.0
2026-03-25,Soyabean,Latur,Latur,4322.1,4633.3,4446.6,26593.0
2026-03-26,Soyabean,Latur,Latur,4320.3,4631.4,4444.8,20459.0
2026-03-27,Soyabean,Latur,Latur,4382.0,4697.6,4508.2,9157.0
2026-03-28,Soyabean,Latur,Latur,4357.0,4670.7,4482.5,8999.0
2026-03-30,Soyabean,Latur,Latur,4368.7,4683.3,4494.6,8931.0
2026-03-31,Soyabean,Latur,Latur,4376.1,4691.2,4502.1,28235.0
2026-04-01,Soyabean,Latur,Latur,4263.4,4570.5,4386.3,24002.0
2026-04-02,Soyabean,Latur,Latur,4343.7,4656.6,4468.9,17876.0
2026-04-03,Soyabean,Latur,Latur,4300.2,4609.8,4424.0,9252.0
2026-04-04,Soyabean,Latur,Latur,4195.5,4497.6,4316.3,15074.0
2026-04-06,Soyabean,Latur,Latur,4264.9,4572.0,4387.7,25363.0
2026-04-07,Soyabean,Latur,Latur,4187.5,4489.0,4308.1,16623.0
2026-04-08,Soyabean,Latur,Latur,4112.5,4408.7,4231.0,15960.0
2026-04-09,Soyabean,Latur,Latur,4123.9,4420.9,4242.7,24859.0
2026-04-10,Soyabean,Latur,Latur,4164.6,4464.6,4284.6,24468.0
2026-04-11,Soyabean,Latur,Latur,4082.4,4376.4,4200.0,25628.0
2026-04-14,Soyabean,Latur,Latur,4082.4,4376.4,4200.0,23314.0
2026-04-15,Soyabean,Latur,Latur,4082.4,4376.4,4200.0,25466.0
2026-04-16,Soyabean,Latur,Latur,4124.3,4421.4,4243.1,22616.0
2026-04-17,Soyabean,Latur,Latur,4212.4,4515.7,4333.7,24125.0
2026-04-18,Soyabean,Latur,Latur,4291.9,4601.0,4415.6,25853.0
2026-04-20,Soyabean,Latur,Latur,4398.3,4715.1,4525.0,16096.0
2026-04-21,Soyabean,Latur,Latur,4321.2,4632.4,4445.7,15067.0
2026-04-22,Soyabean,Latur,Latur,4287.2,4596.0,4410.7,28854.0
2026-04-23,Soyabean,Latur,Latur,4254.8,4561.2,4377.4,21312.0
2026-04-24,Soyabean,Latur,Latur,4281.1,4589.4,4404.4,20357.0
2026-04-25,Soyabean,Latur,Latur,4348.6,4661.8,4473.9,15031.0
2026-04-27,Soyabean,Latur,Latur,4275.5,4583.4,4398.7,20136.0
2026-04-28,Soyabean,Latur,Latur,4338.3,4650.7,4463.2,15579.0
2026-04-29,Soyabean,Latur,Latur,4327.4,4639.1,4452.1,27688.0
2026-04-30,Soyabean,Latur,Latur,4436.7,4756.2,4564.5,21313.0
2026-05-01,Soyabean,Latur,Latur,4407.3,4724.7,4534.3,18625.0
2026-05-02,Soyabean,Latur,Latur,4477.9,4800.4,4606.9,26937.0
2026-05-04,Soyabean,Latur,Latur,4495.4,4819.1,4624.8,18962.0
2026-05-05,Soyabean,Latur,Latur,4462.3,4783.6,4590.8,26638.0
2026-05-06,Soyabean,Latur,Latur,4456.7,4777.7,4585.1,29760.0
2026-05-07,Soyabean,Latur,Latur,4489.4,4812.8,4618.8,18054.0
2026-05-08,Soyabean,Latur,Latur,4577.4,4907.0,4709.3,25946.0
2026-05-09,Soyabean,Latur,Latur,4501.2,4825.4,4630.9,11751.0
2026-05-11,Soyabean,Latur,Latur,4539.3,4866.3,4670.1,11038.0
2026-05-12,Soyabean,Latur,Latur,4615.0,4947.3,4747.9,21422.0
2026-05-13,Soyabean,Latur,Latur,4628.8,4962.2,4762.2,22886.0
2026-05-14,Soyabean,Latur,Latur,4679.6,5016.6,4814.4,19849.0
2026-05-16,Soyabean,Latur,Latur,4834.4,5182.5,4973.6,19773.0
2026-05-18,Soyabean,Latur,Latur,4868.3,5218.9,5008.6,29760.0
2026-05-19,Soyabean,Latur,Latur,4889.0,5241.0,5029.8,11861.0
2026-05-20,Soyabean,Latur,Latur,4930.1,5285.1,5072.1,28989.0
2026-05-21,Soyabean,Latur,Latur,4920.5,5274.8,5062.2,14491.0
2026-05-22,Soyabean,Latur,Latur,4935.3,5290.8,5077.5,24604.0
2026-05-23,Soyabean,Latur,Latur,4907.6,5261.0,5049.0,20829.0
2026-05-25,Soyabean,Latur,Latur,4838.3,5186.8,4977.7,28561.0
2026-05-26,Soyabean,Latur,Latur,4791.7,5136.8,4929.7,27949.0
2026-05-27,Soyabean,Latur,Latur,4841.0,5189.7,4980.5,19978.0
2026-05-29,Soyabean,Latur,Latur,4740.1,5081.4,4876.6,24093.0
2026-05-30,Soyabean,Latur,Latur,4760.7,5103.5,4897.8,21772.0
2026-06-01,Soyabean,Latur,Latur,4617.1,4949.6,4750.1,20260.0
2026-06-02,Soyabean,Latur,Latur,4643.6,4978.0,4777.4,23935.0
2026-06-03,Soyabean,Latur,Latur,4792.5,5137.7,4930.6,12499.0
2026-06-04,Soyabean,Latur,Latur,4862.1,5212.2,5002.1,17106.0
2026-06-05,Soyabean,Latur,Latur,4913.5,5267.4,5055.1,23067.0
2026-06-08,Soyabean,Latur,Latur,4811.3,5157.8,4949.9,8261.0
2026-06-09,Soyabean,Latur,Latur,4828.9,5176.7,4968.0,25935.0
2026-06-10,Soyabean,Latur,Latur,4877.5,5228.7,5018.0,9235.0
2026-06-11,Soyabean,Latur,Latur,4875.9,5227.1,5016.4,18461.0
2026-06-12,Soyabean,Latur,Latur,4858.6,5208.5,4998.5,13290.0
2026-06-13,Soyabean,Latur,Latur,4859.2,5209.2,4999.2,15493.0
2026-06-15,Soyabean,Latur,Latur,4836.5,5184.9,4975.9,23657.0
2026-06-17,Soyabean,Latur,Latur,4711.0,5050.2,4846.7,16376.0
2026-06-18,Soyabean,Latur,Latur,4721.4,5061.4,4857.4,28874.0
2026-06-19,Soyabean,Latur,Latur,4760.4,5103.3,4897.6,29221.0
2026-06-20,Soyabean,Latur,Latur,4679.0,5015.9,4813.7,28966.0
2026-06-22,Soyabean,Latur,Latur,4642.8,4977.1,4776.5,28249.0
2026-06-23,Soyabean,Latur,Latur,4563.2,4891.8,4694.6,29639.0
2026-06-24,Soyabean,Latur,Latur,4491.5,4815.0,4620.9,19010.0
2026-06-25,Soyabean,Latur,Latur,4547.9,4875.4,4678.9,17640.0
2026-06-26,Soyabean,Latur,Latur,4586.6,4916.9,4718.8,13101.0
2026-06-27,Soyabean,Latur,Latur,4558.1,4886.4,4689.4,25792.0
2026-06-29,Soyabean,Latur,Latur,4470.8,4792.8,4599.6,21519.0
2026-06-30,Soyabean,Latur,Latur,4445.3,4765.4,4573.3,20208.0
2026-07-01,Soyabean,Latur,Latur,4520.8,4846.3,4651.0,23063.0
2026-07-02,Soyabean,Latur,Latur,4517.8,4843.1,4647.9,10491.0
2026-07-03,Soyabean,Latur,Latur,4517.5,4842.9,4647.7,29985.0
2026-07-04,Soyabean,Latur,Latur,4533.8,4860.3,4664.4,12553.0
2026-07-06,Soyabean,Latur,Latur,4622.3,4955.2,4755.4,13493.0
2026-07-07,Soyabean,Latur,Latur,4647.0,4981.7,4780.9,14121.0
2026-07-08,Soyabean,Latur,Latur,4712.0,5051.3,4847.7,17452.0
2026-07-09,Soyabean,Latur,Latur,4697.1,5035.4,4832.5,10733.0
2026-07-10,Soyabean,Latur,Latur,4698.4,5036.8,4833.8,11642.0
2026-07-14,Soyabean,Latur,Latur,4806.9,5153.1,4945.4,14919.0
2026-07-15,Soyabean,Latur,Latur,4739.3,5080.6,4875.8,24453.0
2026-07-16,Soyabean,Latur,Latur,4817.0,5163.9,4955.8,16039.0
2026-07-17,Soyabean,Latur,Latur,4834.9,5183.1,4974.2,21829.0
2026-07-18,Soyabean,Latur,Latur,4772.7,5116.4,4910.2,22983.0
2026-07-20,Soyabean,Latur,Latur,4736.9,5078.0,4873.3,25226.0
2026-07-21,Soyabean,Latur,Latur,4695.9,5034.1,4831.2,9696.0
2026-07-22,Soyabean,Latur,Latur,4724.8,5065.1,4860.9,16426.0
2026-07-23,Soyabean,Latur,Latur,4771.7,5115.3,4909.1,19045.0
2026-07-24,Soyabean,Latur,Latur,4795.6,5141.0,4933.7,21700.0
2026-07-25,Soyabean,Latur,Latur,4799.4,5145.0,4937.7,27298.0
2026-07-27,Soyabean,Latur,Latur,4740.1,5081.5,4876.7,29440.0
2026-07-28,Soyabean,Latur,Latur,4713.3,5052.7,4849.1,13983.0
2026-07-29,Soyabean,Latur,Latur,4682.0,5019.2,4816.8,10638.0
2026-07-31,Soyabean,Latur,Latur,4534.2,4860.7,4664.8,21867.0
2026-08-01,Soyabean,Latur,Latur,4527.6,4853.7,4658.1,11696.0
2026-08-03,Soyabean,Latur,Latur,4520.2,4845.7,4650.4,11019.0
2026-08-04,Soyabean,Latur,Latur,4574.2,4903.6,4706.0,16544.0
2026-08-05,Soyabean,Latur,Latur,4551.7,4879.5,4682.8,28180.0
2026-08-06,Soyabean,Latur,Latur,4618.5,4951.1,4751.5,8621.0
2026-08-08,Soyabean,Latur,Latur,4570.2,4899.3,4701.9,29132.0
2026-08-10,Soyabean,Latur,Latur,4521.8,4847.5,4652.1,14750.0
2026-08-11,Soyabean,Latur,Latur,4560.7,4889.2,4692.1,28607.0
2026-08-12,Soyabean,Latur,Latur,4486.5,4809.7,4615.8,13490.0
2026-08-13,Soyabean,Latur,Latur,4381.2,4696.8,4507.4,23118.0
2026-08-14,Soyabean,Latur,Latur,4427.3,4746.1,4554.8,10048.0
2026-08-15,Soyabean,Latur,Latur,4400.9,4717.8,4527.7,13836.0
2026-08-17,Soyabean,Latur,Latur,4513.7,4838.7,4643.7,16744.0
2026-08-18,Soyabean,Latur,Latur,4575.4,4904.9,4707.2,24549.0
2026-08-19,Soyabean,Latur,Latur,4464.8,4786.3,4593.4,9737.0
2026-08-20,Soyabean,Latur,Latur,4433.1,4752.4,4560.8,10776.0
2026-08-21,Soyabean,Latur,Latur,4414.8,4732.7,4541.9,27216.0
2026-08-22,Soyabean,Latur,Latur,4371.5,4686.3,4497.4,19784.0
2026-08-25,Soyabean,Latur,Latur,4469.9,4791.9,4598.7,22202.0
2026-08-26,Soyabean,Latur,Latur,4413.1,4730.9,4540.2,10984.0
2026-08-27,Soyabean,Latur,Latur,4399.6,4716.4,4526.3,21979.0
2026-08-28,Soyabean,Latur,Latur,4375.5,4690.6,4501.5,23155.0
2026-08-29,Soyabean,Latur,Latur,4467.5,4789.2,4596.2,8196.0
2026-08-31,Soyabean,Latur,Latur,4421.9,4740.3,4549.2,10251.0
2026-09-01,Soyabean,Latur,Latur,4447.4,4767.7,4575.5,26953.0
2026-09-02,Soyabean,Latur,Latur,4405.7,4723.0,4532.7,22419.0
2026-09-03,Soyabean,Latur,Latur,4340.6,4653.2,4465.6,19762.0
