date,commodity,market,district,min_price,max_price,modal_price,arrivals_quintals
2026-01-01,Onion,Lasalgaon,Nashik,1745.4,1966.8,1845.1,28534.0
2026-01-02,Onion,Lasalgaon,Nashik,1750.5,1972.6,1850.5,15130.0
2026-01-03,Onion,Lasalgaon,Nashik,1773.3,1998.2,1874.5,26041.0
2026-01-05,Onion,Lasalgaon,Nashik,1788.4,2015.2,1890.4,27183.0
2026-01-06,Onion,Lasalgaon,Nashik,1768.3,1992.6,1869.3,20355.0
2026-01-07,Onion,Lasalgaon,Nashik,1741.1,1961.9,1840.4,19386.0
2026-01-08,Onion,Lasalgaon,Nashik,1776.1,2001.4,1877.5,25582.0
2026-01-09,Onion,Lasalgaon,Nashik,1737.6,1958.0,1836.8,25012.0
2026-01-10,Onion,Lasalgaon,Nashik,1791.6,2018.9,1893.9,15390.0
2026-01-12,Onion,Lasalgaon,Nashik,1788.3,2015.2,1890.4,25786.0
2026-01-13,Onion,Lasalgaon,Nashik,1765.0,1988.9,1865.8,19579.0
2026-01-14,Onion,Lasalgaon,Nashik,1786.1,2012.6,1888.0,18808.0
2026-01-15,Onion,Lasalgaon,Nashik,1806.1,2035.3,1909.2,20571.0
2026-01-16,Onion,Lasalgaon,Nashik,1806.7,2035.9,1909.8,19275.0
2026-01-17,Onion,Lasalgaon,Nashik,1748.2,1969.9,1848.0,26584.0
2026-01-19,Onion,Lasalgaon,Nashik,1790.3,2017.4,1892.5,23384.0
2026-01-20,Onion,Lasalgaon,Nashik,1827.0,2058.8,1931.3,34969.0
2026-01-22,Onion,Lasalgaon,Nashik,1844.5,2078.4,1949.8,20280.0
2026-01-24,Onion,Lasalgaon,Nashik,1858.3,2094.0,1964.3,19202.0
2026-01-26,Onion,Lasalgaon,Nashik,1975.2,2225.7,2087.9,20336.0
2026-01-27,Onion,Lasalgaon,Nashik,2004.3,2258.6,2118.7,20582.0
2026-01-28,Onion,Lasalgaon,Nashik,2000.2,2253.9,2114.4,21274.0
2026-01-29,Onion,Lasalgaon,Nashik,1987.4,2239.5,2100.8,28285.0
2026-01-30,Onion,Lasalgaon,Nashik,2012.5,2267.8,2127.4,33056.0
2026-01-31,Onion,Lasalgaon,Nashik,2024.9,2281.7,2140.5,16696.0
2026-02-02,Onion,Lasalgaon,Nashik,2001.5,2255.4,2115.7,19880.0
2026-02-03,Onion,Lasalgaon,Nashik,2101.5,2368.1,2221.5,31028.0
2026-02-04,Onion,Lasalgaon,Nashik,2163.5,2437.9,2287.0,27753.0
2026-02-05,Onion,Lasalgaon,Nashik,2206.0,2485.8,2331.9,16285.0
2026-02-06,Onion,Lasalgaon,Nashik,2203.2,2482.7,2329.0,34069.0
2026-02-07,Onion,Lasalgaon,Nashik,2208.9,2489.1,2335.0,17553.0
2026-02-10,Onion,Lasalgaon,Nashik,2144.3,2416.3,2266.7,28989.0
2026-02-11,Onion,Lasalgaon,Nashik,2140.4,2411.9,2262.6,22933.0
