date,commodity,market,district,min_price,max_price,modal_price,arrivals_quintals
2026-01-01,Onion,Pimpalgaon,Nashik,1673.9,1925.9,1799.9,9217.0
2026-01-02,Onion,Pimpalgaon,Nashik,1676.9,1929.3,1803.1,17774.0
2026-01-03,Onion,Pimpalgaon,Nashik,1709.7,1967.1,1838.4,16659.0
2026-01-05,Onion,Pimpalgaon,Nashik,1714.7,1972.9,1843.8,18208.0
2026-01-06,Onion,Pimpalgaon,Nashik,1694.2,1949.2,1821.7,21201.0
2026-01-07,Onion,Pimpalgaon,Nashik,1680.2,1933.2,1806.7,15133.0
2026-01-08,Onion,Pimpalgaon,Nashik,1695.9,1951.3,1823.6,20051.0
2026-01-09,Onion,Pimpalgaon,Nashik,1689.5,1943.9,1816.7,20777.0
2026-01-10,Onion,Pimpalgaon,Nashik,1727.1,1987.1,1857.1,20302.0
2026-01-12,Onion,Pimpalgaon,Nashik,1736.0,1997.4,1866.7,10816.0
2026-01-13,Onion,Pimpalgaon,Nashik,1690.7,1945.3,1818.0,20035.0
2026-01-14,Onion,Pimpalgaon,Nashik,1719.8,1978.6,1849.2,14035.0
2026-01-15,Onion,Pimpalgaon,Nashik,1729.1,1989.3,1859.2,20926.0
2026-01-16,Onion,Pimpalgaon,Nashik,1753.0,2017.0,1885.0,8821.0
2026-01-17,Onion,Pimpalgaon,Nashik,1672.4,1924.2,1798.3,18472.0
2026-01-19,Onion,Pimpalgaon,Nashik,1715.9,1974.3,1845.1,15319.0
2026-01-20,Onion,Pimpalgaon,Nashik,1769.2,2035.6,1902.4,9026.0
2026-01-21,Onion,Pimpalgaon,Nashik,1763.1,2028.5,1895.8,12191.0
2026-01-22,Onion,Pimpalgaon,Nashik,1784.9,2053.5,1919.2,20675.0
2026-01-23,Onion,Pimpalgaon,Nashik,1774.9,2042.1,1908.5,20363.0
2026-01-24,Onion,Pimpalgaon,Nashik,1801.1,2072.3,1936.7,9439.0
2026-01-26,Onion,Pimpalgaon,Nashik,1914.7,2202.9,2058.8,9513.0
2026-01-27,Onion,Pimpalgaon,Nashik,1924.3,2213.9,2069.1,13595.0
2026-01-28,Onion,Pimpalgaon,Nashik,1911.7,2199.5,2055.6,15160.0
2026-01-29,Onion,Pimpalgaon,Nashik,1921.4,2210.6,2066.0,12395.0
2026-01-30,Onion,Pimpalgaon,Nashik,1935.8,2227.2,2081.5,12213.0
2026-01-31,Onion,Pimpalgaon,Nashik,1966.8,2262.8,2114.8,16861.0
2026-02-02,Onion,Pimpalgaon,Nashik,1916.3,2204.7,2060.5,8078.0
2026-02-03,Onion,Pimpalgaon,Nashik,2014.3,2317.5,2165.9,21830.0
2026-02-04,Onion,Pimpalgaon,Nashik,2083.3,2396.9,2240.1,15298.0
2026-02-05,Onion,Pimpalgaon,Nashik,2113.6,2431.8,2272.7,15597.0
2026-02-06,Onion,Pimpalgaon,Nashik,2116.2,2434.8,2275.5,18465.0
2026-02-07,Onion,Pimpalgaon,Nashik,2124.0,2443.8,2283.9,8378.0
2026-02-09,Onion,Pimpalgaon,Nashik,2041.0,2348.2,2194.6,21999.0
2026-02-10,Onion,Pimpalgaon,Nashik,2073.0,2385.0,2229.0,10349.0
2026-02-11,Onion,Pimpalgaon,Nashik,2054.2,2363.4,2208.8,9064.0
2026-02-12,Onion,Pimpalgaon,Nashik,2068.7,2380.1,2224.4,19513.0
2026-02-13,Onion,Pimpalgaon,Nashik,2028.9,2334.3,2181.6,14098.0
2026-02-14,Onion,Pimpalgaon,Nashik,1958.6,2253.4,2106.0,12765.0
2026-02-16,Onion,Pimpalgaon,Nashik,1967.6,2263.8,2115.7,15433.0
2026-02-17,Onion,Pimpalgaon,Nashik,1997.1,2297.7,2147.4,14779.0
2026-02-18,Onion,Pimpalgaon,Nashik,2058.6,2368.6,2213.6,20158.0
2026-02-19,Onion,Pimpalgaon,Nashik,2078.9,2391.9,2235.4,8751.0
2026-02-20,Onion,Pimpalgaon,Nashik,2087.2,2401.4,2244.3,16694.0
2026-02-21,Onion,Pimpalgaon,Nashik,2137.2,2459.0,2298.1,11241.0
2026-02-23,Onion,Pimpalgaon,Nashik,2135.6,2457.0,2296.3,12041.0
2026-02-24,Onion,Pimpalgaon,Nashik,2106.6,2423.8,2265.2,21311.0
2026-02-25,Onion,Pimpalgaon,Nashik,2052.5,2361.5,2207.0,12871.0
2026-02-26,Onion,Pimpalgaon,Nashik,2011.8,2314.6,2163.2,21834.0
2026-02-27,Onion,Pimpalgaon,Nashik,2064.8,2375.6,2220.2,9700.0
2026-02-28,Onion,Pimpalgaon,Nashik,2105.3,2422.3,2263.8,11828.0
2026-03-02,Onion,Pimpalgaon,Nashik,2261.8,2602.2,2432.0,14855.0
