date,commodity,market,district,min_price,max_price,modal_price,arrivals_quintals
2026-01-01,Tomato,Junnar(Narayangaon),Pune,1265.4,1543.5,1390.5,11075.0
2026-01-02,Tomato,Junnar(Narayangaon),Pune,1316.4,1605.7,1446.5,5354.0
2026-01-03,Tomato,Junnar(Narayangaon),Pune,1228.0,1497.8,1349.4,4642.0
2026-01-05,Tomato,Junnar(Narayangaon),Pune,1222.6,1491.3,1343.5,12960.0
2026-01-06,Tomato,Junnar(Narayangaon),Pune,1192.9,1455.1,1310.9,10424.0
2026-01-08,Tomato,Junnar(Narayangaon),Pune,1164.8,1420.8,1280.0,7736.0
2026-01-09,Tomato,Junnar(Narayangaon),Pune,1189.0,1450.3,1306.5,12526.0
2026-01-10,Tomato,Junnar(Narayangaon),Pune,1292.7,1576.8,1420.6,5199.0
2026-01-12,Tomato,Junnar(Narayangaon),Pune,1162.3,1417.8,1277.3,5694.0
2026-01-13,Tomato,Junnar(Narayangaon),Pune,1143.6,1394.9,1256.6,13366.0
2026-01-14,Tomato,Junnar(Narayangaon),Pune,1134.6,1384.0,1246.8,5378.0
2026-01-15,Tomato,Junnar(Narayangaon),Pune,1106.3,1349.4,1215.7,4708.0
2026-01-16,Tomato,Junnar(Narayangaon),Pune,1099.0,1340.6,1207.7,9922.0
2026-01-17,Tomato,Junnar(Narayangaon),Pune,1073.1,1309.0,1179.2,11040.0
2026-01-19,Tomato,Junnar(Narayangaon),Pune,1127.7,1375.6,1239.2,7342.0
2026-01-20,Tomato,Junnar(Narayangaon),Pune,1224.4,1493.6,1345.5,9173.0
2026-01-21,Tomato,Junnar(Narayangaon),Pune,1153.1,1406.5,1267.1,5616.0
2026-01-23,Tomato,Junnar(Narayangaon),Pune,1200.8,1464.7,1319.5,12155.0
2026-01-24,Tomato,Junnar(Narayangaon),Pune,1139.4,1389.8,1252.0,17018.0
2026-01-26,Tomato,Junnar(Narayangaon),Pune,1058.2,1290.7,1162.8,8273.0
2026-01-27,Tomato,Junnar(Narayangaon),Pune,1063.9,1297.7,1169.1,5615.0
2026-01-29,Tomato,Junnar(Narayangaon),Pune,986.5,1203.3,1084.1,8330.0
2026-01-30,Tomato,Junnar(Narayangaon),Pune,976.7,1191.3,1073.3,13166.0
2026-01-31,Tomato,Junnar(Narayangaon),Pune,1026.1,1251.6,1127.6,13419.0
2026-02-02,Tomato,Junnar(Narayangaon),Pune,1072.4,1308.1,1178.5,9952.0
2026-02-03,Tomato,Junnar(Narayangaon),Pune,1125.1,1372.3,1236.3,11067.0
2026-02-04,Tomato,Junnar(Narayangaon),Pune,1075.9,1312.4,1182.3,8000.0
2026-02-05,Tomato,Junnar(Narayangaon),Pune,984.9,1201.4,1082.3,13737.0
2026-02-06,Tomato,Junnar(Narayangaon),Pune,989.2,1206.6,1087.0,7072.0
2026-02-07,Tomato,Junnar(Narayangaon),Pune,1053.1,1284.6,1157.3,10464.0
2026-02-09,Tomato,Junnar(Narayangaon),Pune,1110.2,1354.2,1220.0,17295.0
2026-02-10,Tomato,Junnar(Narayangaon),Pune,1132.5,1381.4,1244.5,15470.0
2026-02-11,Tomato,Junnar(Narayangaon),Pune,1204.0,1468.6,1323.0,12406.0
2026-02-12,Tomato,Junnar(Narayangaon),Pune,1156.2,1410.3,1270.5,12898.0
2026-02-13,Tomato,Junnar(Narayangaon),Pune,1215.8,1483.1,1336.1,16343.0
2026-02-14,Tomato,Junnar(Narayangaon),Pune,1182.9,1442.9,1299.9,4142.0
2026-02-16,Tomato,Junnar(Narayangaon),Pune,1125.6,1373.0,1237.0,13840.0
2026-02-17,Tomato,Junnar(Narayangaon),Pune,1085.9,1324.6,1193.4,6718.0
2026-02-18,Tomato,Junnar(Narayangaon),Pune,1092.4,1332.5,1200.4,10572.0
2026-02-19,Tomato,Junnar(Narayangaon),Pune,1041.4,1270.3,1144.4,14702.0
2026-02-20,Tomato,Junnar(Narayangaon),Pune,1098.7,1340.2,1207.4,6909.0
2026-02-21,Tomato,Junnar(Narayangaon),Pune,1027.6,1253.4,1129.2,15030.0
2026-02-23,Tomato,Junnar(Narayangaon),Pune,976.2,1190.7,1072.7,10913.0
2026-02-24,Tomato,Junnar(Narayangaon),Pune,993.2,1211.5,1091.4,4563.0
2026-02-25,Tomato,Junnar(Narayangaon),Pune,1019.2,1243.3,1120.1,8035.0
2026-02-26,Tomato,Junnar(Narayangaon),Pune,1004.6,1225.4,1104.0,6626.0
2026-02-27,Tomato,Junnar(Narayangaon),Pune,1007.4,1228.8,1107.0,11732.0
2026-02-28,Tomato,Junnar(Narayangaon),Pune,982.2,1198.1,1079.3,11718.0
2026-03-02,Tomato,Junnar(Narayangaon),Pune,974.2,1188.3,1070.5,11727.0
2026-03-03,Tomato,Junnar(Narayangaon),Pune,991.4,1209.3,1089.5,15490.0
2026-03-04,Tomato,Junnar(Narayangaon),Pune,1004.6,1225.3,1103.9,6161.0
2026-03-05,Tomato,Junnar(Narayangaon),Pune,1014.1,1236.9,1114.4,12836.0
2026-03-06,Tomato,Junnar(Narayangaon),Pune,966.4,1178.8,1062.0,8107.0
2026-03-07,Tomato,Junnar(Narayangaon),Pune,935.1,1140.6,1027.6,4132.0
2026-03-09,Tomato,Junnar(Narayangaon),Pune,799.8,975.5,878.9,17691.0
2026-03-10,Tomato,Junnar(Narayangaon),Pune,778.5,949.6,855.5,12913.0
2026-03-11,Tomato,Junnar(Narayangaon),Pune,804.0,980.7,883.5,6459.0
2026-03-12,Tomato,Junnar(Narayangaon),Pune,796.9,972.0,875.7,17481.0
2026-03-13,Tomato,Junnar(Narayangaon),Pune,772.7,942.6,849.1,15514.0
2026-03-14,Tomato,Junnar(Narayangaon),Pune,781.3,953.0,858.6,5957.0
